date,ticker,sector,open,high,low,close,volume,is_anomaly
2024-01-01,PPL,Oil & Gas Exploration,117.01,123.66,116.5,123.66,7405974,f
2024-01-02,PPL,Oil & Gas Exploration,127.5,131.5,125.11,126.01,34951008,f
2024-01-03,PPL,Oil & Gas Exploration,127.0,130.74,125.11,129.59,24928592,f
2024-01-04,PPL,Oil & Gas Exploration,129.9,129.96,125.5,128.23,11891649,f
2024-01-05,PPL,Oil & Gas Exploration,127.98,129.99,122.5,127.43,11228730,f
2024-01-08,PPL,Oil & Gas Exploration,126.9,128.23,124.5,125.08,4561042,f
2024-01-09,PPL,Oil & Gas Exploration,127.1,127.5,124.75,125.41,7418243,f
2024-01-10,PPL,Oil & Gas Exploration,125.2,130.99,124.88,126.63,15931102,f
2024-01-11,PPL,Oil & Gas Exploration,127.4,135.9,126.5,132.63,19125010,f
2024-01-12,PPL,Oil & Gas Exploration,134.02,137.9,132.2,133.79,24740483,f
2024-01-15,PPL,Oil & Gas Exploration,135.38,137.4,130.75,132.12,12654467,f
2024-01-16,PPL,Oil & Gas Exploration,131.5,131.5,125.75,126.65,10704013,f
2024-01-17,PPL,Oil & Gas Exploration,126.0,128.7,121.41,123.63,16519053,f
2024-01-18,PPL,Oil & Gas Exploration,123.5,124.24,119.15,122.14,11124990,f
2024-01-19,PPL,Oil & Gas Exploration,123.6,124.88,120.51,122.28,6414455,f
2024-01-22,PPL,Oil & Gas Exploration,122.4,131.45,122.4,131.01,23338496,f
2024-01-23,PPL,Oil & Gas Exploration,131.01,131.24,125.02,126.67,27788195,f
2024-01-24,PPL,Oil & Gas Exploration,126.9,130.9,124.51,127.7,34477717,f
2024-01-25,PPL,Oil & Gas Exploration,126.7,126.8,118.12,118.28,27378044,f
2024-01-26,PPL,Oil & Gas Exploration,117.01,121.75,116.51,118.3,20139069,f
2024-01-29,PPL,Oil & Gas Exploration,117.89,117.89,113.01,113.68,7641946,f
2024-01-30,PPL,Oil & Gas Exploration,113.68,119.97,108.01,113.89,18157957,f
2024-01-31,PPL,Oil & Gas Exploration,115.88,116.89,113.7,114.05,5252850,f
2024-02-01,PPL,Oil & Gas Exploration,114.0,117.25,109.75,115.8,19781910,f
2024-02-02,PPL,Oil & Gas Exploration,116.49,117.38,112.01,114.34,18483443,f
2024-02-06,PPL,Oil & Gas Exploration,115.94,121.36,115.0,120.36,19900893,f
2024-02-07,PPL,Oil & Gas Exploration,120.99,122.69,119.5,121.27,14223153,f
2024-02-09,PPL,Oil & Gas Exploration,118.99,118.99,112.17,116.78,17861036,f
2024-02-12,PPL,Oil & Gas Exploration,112.0,113.0,108.02,108.02,12883624,f
2024-02-13,PPL,Oil & Gas Exploration,99.92,105.15,99.92,101.27,18646972,f
2024-02-14,PPL,Oil & Gas Exploration,105.0,108.18,104.01,107.37,15505464,f
2024-02-15,PPL,Oil & Gas Exploration,109.0,109.35,100.7,102.45,9737543,f
2024-02-16,PPL,Oil & Gas Exploration,100.1,103.5,95.6,98.23,11953769,f
2024-02-19,PPL,Oil & Gas Exploration,94.6,105.34,94.0,104.54,11550721,f
2024-02-20,PPL,Oil & Gas Exploration,103.99,106.38,101.45,102.39,7218710,f
2024-02-21,PPL,Oil & Gas Exploration,105.0,106.88,103.52,105.32,5836954,f
2024-02-22,PPL,Oil & Gas Exploration,105.5,105.98,103.5,104.26,3415808,f
2024-02-23,PPL,Oil & Gas Exploration,104.3,110.15,103.81,109.07,15411890,f
2024-02-26,PPL,Oil & Gas Exploration,109.11,111.6,107.4,108.21,11066294,f
2024-02-27,PPL,Oil & Gas Exploration,107.99,108.98,106.29,106.68,4562482,f
2024-02-28,PPL,Oil & Gas Exploration,107.0,109.44,106.24,108.34,6243665,f
2024-02-29,PPL,Oil & Gas Exploration,109.8,114.97,109.2,113.48,15985508,f
2024-03-01,PPL,Oil & Gas Exploration,113.87,114.0,112.01,113.07,4632027,f
2024-03-04,PPL,Oil & Gas Exploration,114.5,120.9,114.5,119.87,13808772,f
2024-03-05,PPL,Oil & Gas Exploration,118.0,118.99,113.3,114.2,6853016,f
2024-03-06,PPL,Oil & Gas Exploration,113.81,117.0,113.81,114.35,7916062,f
2024-03-07,PPL,Oil & Gas Exploration,114.05,115.98,113.52,115.3,4384060,f
2024-03-08,PPL,Oil & Gas Exploration,116.0,116.4,114.7,114.93,3220960,f
2024-03-11,PPL,Oil & Gas Exploration,116.0,116.0,114.25,114.62,2142642,f
2024-03-12,PPL,Oil & Gas Exploration,115.05,115.5,110.5,111.06,3232318,f
2024-03-13,PPL,Oil & Gas Exploration,111.0,112.3,107.02,108.52,3482193,f
2024-03-14,PPL,Oil & Gas Exploration,110.0,113.45,109.5,112.97,2631669,f
2024-03-15,PPL,Oil & Gas Exploration,114.88,114.88,111.01,111.62,2016604,f
2024-03-18,PPL,Oil & Gas Exploration,112.06,113.0,110.5,110.93,1545056,f
2024-03-19,PPL,Oil & Gas Exploration,111.0,112.4,110.11,111.09,1761518,f
2024-03-20,PPL,Oil & Gas Exploration,111.99,112.25,108.5,108.95,4202005,f
2024-03-21,PPL,Oil & Gas Exploration,109.7,110.0,106.1,106.62,2352350,f
2024-03-22,PPL,Oil & Gas Exploration,106.75,106.75,105.35,106.02,1112732,f
2024-03-25,PPL,Oil & Gas Exploration,109.0,110.8,106.0,107.78,4571263,f
2024-03-26,PPL,Oil & Gas Exploration,108.5,108.85,106.7,107.37,1672934,f
2024-03-27,PPL,Oil & Gas Exploration,107.88,107.9,105.51,105.79,2464631,f
2024-03-28,PPL,Oil & Gas Exploration,106.0,107.75,105.8,107.17,2576572,f
2024-03-29,PPL,Oil & Gas Exploration,107.75,108.7,105.8,106.15,1914920,f
2024-04-01,PPL,Oil & Gas Exploration,106.55,107.1,105.15,105.61,1168218,f
2024-04-02,PPL,Oil & Gas Exploration,105.98,105.98,103.6,104.53,1009245,f
2024-04-03,PPL,Oil & Gas Exploration,105.0,108.55,104.0,108.07,4928965,f
2024-04-04,PPL,Oil & Gas Exploration,114.83,114.83,108.7,110.17,21170581,f
2024-04-08,PPL,Oil & Gas Exploration,111.99,114.0,111.2,112.61,5332113,f
2024-04-09,PPL,Oil & Gas Exploration,112.72,114.24,111.5,112.66,3825764,f
2024-04-15,PPL,Oil & Gas Exploration,114.24,114.98,110.5,114.33,9377687,f
2024-04-16,PPL,Oil & Gas Exploration,114.25,116.9,113.51,113.99,9086389,f
2024-04-17,PPL,Oil & Gas Exploration,113.4,113.79,112.1,112.54,3641708,f
2024-04-18,PPL,Oil & Gas Exploration,112.52,114.01,111.52,112.61,4250356,f
2024-04-19,PPL,Oil & Gas Exploration,113.0,114.9,112.0,113.38,4931904,f
2024-04-22,PPL,Oil & Gas Exploration,114.0,115.15,112.8,113.4,7042817,f
2024-04-23,PPL,Oil & Gas Exploration,113.91,114.39,112.5,112.98,2784134,f
2024-04-24,PPL,Oil & Gas Exploration,113.48,114.35,113.02,113.33,4022391,f
2024-04-25,PPL,Oil & Gas Exploration,113.0,114.56,112.5,113.74,4801098,f
2024-04-26,PPL,Oil & Gas Exploration,113.81,115.2,113.0,114.05,5499839,f
2024-04-29,PPL,Oil & Gas Exploration,114.3,115.0,112.0,112.05,6241486,f
2024-04-30,PPL,Oil & Gas Exploration,112.26,119.25,111.21,114.91,23164949,f
2024-05-02,PPL,Oil & Gas Exploration,115.15,118.5,114.7,116.6,9249140,f
2024-05-03,PPL,Oil & Gas Exploration,117.8,125.35,117.1,124.33,26658354,f
2024-05-06,PPL,Oil & Gas Exploration,127.01,128.4,124.35,125.31,14348667,f
2024-05-07,PPL,Oil & Gas Exploration,125.0,125.75,121.75,122.12,11836660,f
2024-05-08,PPL,Oil & Gas Exploration,121.12,124.6,121.12,122.28,9279853,f
2024-05-09,PPL,Oil & Gas Exploration,122.26,122.74,120.55,121.51,5570014,f
2024-05-10,PPL,Oil & Gas Exploration,122.7,124.25,121.3,122.46,6754573,f
2024-05-13,PPL,Oil & Gas Exploration,122.5,126.7,121.45,124.27,12230801,f
2024-05-14,PPL,Oil & Gas Exploration,125.0,125.9,123.6,125.44,9789767,f
2024-05-15,PPL,Oil & Gas Exploration,126.01,126.49,122.7,123.06,9494603,f
2024-05-16,PPL,Oil & Gas Exploration,123.49,124.37,122.52,122.76,3814356,f
2024-05-17,PPL,Oil & Gas Exploration,122.9,124.8,122.62,123.5,4354540,f
2024-05-20,PPL,Oil & Gas Exploration,122.8,123.5,121.36,122.29,5249792,f
2024-05-21,PPL,Oil & Gas Exploration,122.51,124.1,122.1,122.73,3379929,f
2024-05-22,PPL,Oil & Gas Exploration,123.1,123.61,120.6,121.75,4054311,f
2024-05-23,PPL,Oil & Gas Exploration,122.13,123.2,121.3,122.28,4918689,f
2024-05-24,PPL,Oil & Gas Exploration,122.75,125.4,122.75,123.58,11784831,f
2024-05-27,PPL,Oil & Gas Exploration,124.02,124.2,120.85,121.23,4209486,f
2024-05-29,PPL,Oil & Gas Exploration,121.68,121.68,117.35,118.02,9507056,f
2024-05-30,PPL,Oil & Gas Exploration,118.49,120.0,117.2,119.42,5658625,f
2024-05-31,PPL,Oil & Gas Exploration,120.0,121.5,119.5,119.94,3446860,f
2024-06-03,PPL,Oil & Gas Exploration,120.25,120.44,117.75,119.35,6029798,f
2024-06-04,PPL,Oil & Gas Exploration,119.5,120.2,117.05,117.31,2818949,f
2024-06-05,PPL,Oil & Gas Exploration,117.51,117.77,116.01,116.31,2249474,f
2024-06-06,PPL,Oil & Gas Exploration,116.46,119.75,116.0,116.92,4436045,f
2024-06-07,PPL,Oil & Gas Exploration,116.85,116.85,113.4,114.42,7471203,f
2024-06-10,PPL,Oil & Gas Exploration,114.04,114.5,111.99,112.42,2982274,f
2024-06-11,PPL,Oil & Gas Exploration,113.47,113.67,109.73,111.82,3862308,f
2024-06-12,PPL,Oil & Gas Exploration,110.73,114.9,110.73,114.18,2299537,f
2024-06-13,PPL,Oil & Gas Exploration,116.51,123.13,116.12,122.85,15368916,f
2024-06-14,PPL,Oil & Gas Exploration,122.69,123.14,119.45,119.76,4235086,f
2024-06-20,PPL,Oil & Gas Exploration,120.25,120.7,117.5,119.22,7357322,f
2024-06-21,PPL,Oil & Gas Exploration,120.01,121.45,118.5,119.59,8520848,f
2024-06-24,PPL,Oil & Gas Exploration,119.67,120.47,118.11,118.31,3460930,f
2024-06-25,PPL,Oil & Gas Exploration,118.7,118.7,116.6,116.81,2854288,f
2024-06-26,PPL,Oil & Gas Exploration,116.97,119.65,115.7,118.44,11103476,f
2024-06-27,PPL,Oil & Gas Exploration,118.5,119.75,116.8,117.43,2463246,f
2024-06-28,PPL,Oil & Gas Exploration,117.5,118.75,116.62,117.11,1931469,f
2024-07-01,PPL,Oil & Gas Exploration,117.15,122.95,116.8,120.85,10582603,f
2024-07-02,PPL,Oil & Gas Exploration,121.0,125.22,121.0,123.75,10150735,f
2024-07-03,PPL,Oil & Gas Exploration,124.49,126.2,123.7,124.72,8358809,f
2024-07-04,PPL,Oil & Gas Exploration,125.0,125.9,122.8,123.26,4973280,f
2024-07-05,PPL,Oil & Gas Exploration,123.51,123.51,121.8,122.3,2425734,f
2024-07-08,PPL,Oil & Gas Exploration,122.4,124.7,121.4,123.79,2781992,f
